Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount($),Stage,Funding_Year,Year_of_existence,Actual_date,Year
Aqgromalin,2019-01-01,Chennai,Agriculture,Cultivating Ideas for Profit,"Prasanna Manogaran, Bharani C L",Angel investors,200000.0,Seed,2020-01-01,365 days,2018-01-01,2018
Krayonnz,2019-01-01,Bengaluru,Education,An academy-guardian-scholar centric ecosystem which provides state of the art technological solutions.,"Saurabh Dixit, Gurudutt Upadhyay",GSF Accelerator,100000.0,Pre_seed,2020-01-01,365 days,2018-01-01,2018
PadCare Labs,2018-01-01,Pune,Healthcare & Life sciences,Converting bio-hazardous waste to harmless waste,Ajinkya Dhariya,Venture Center,3000000.0,Pre_seed,2020-01-01,730 days,2019-01-01,2019
NCOME,2020-01-01,New Delhi,IT & Technology,Escrow-as-a-service platform,Ritesh Tiwari,"Venture Catalysts, PointOne Capital",400000.0,Seed,2020-01-01,0 days,2017-01-01,2017
Gramophone,2016-01-01,Indore,Agriculture,Gramophone is an AgTech platform enabling access to agri inputs and powering efficient farm management.,"Ashish Rajan Singh, Harshit Gupta, Nishant Mahatre, Tauseef Khan","Siana Capital Management, Info Edge",340000.0,Seed,2020-01-01,1461 days,2021-01-01,2021
qZense,2019-01-01,Bengaluru,Agriculture,qZense Labs is building the next-generation IoT solution for fresh food quality assessment and management.,"Rubal Chib, Dr Srishti Batra","Venture Catalysts, 9Unicorns Accelerator Fund",600000.0,Seed,2020-01-01,365 days,2018-01-01,2018
Metvy,2018-01-01,Gurugram,IT & Technology,AI driven networking platform for individuals and organisations which aims to provided a seamless end to end networking experience.,Shawrya Mehrotra,HostelFund,3000000.0,Seed,2020-01-01,730 days,2019-01-01,2019
Gig India,2017-01-01,Pune,Business Services,GigIndia is a marketplace that provides on-demand work completion for companies through a gig workforce of jobseekers.,"Aditya Shirole, Sahil Sharma","Shantanu Deshpande, Subramaniam Ramadorai",1000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Slurrp Farm,2016-01-01,Gurugram,Consumer Goods,Slurrp Farm is a children health food brand.,Meghana Narayan,Fireside Ventures,2000000.0,Series_A,2020-01-01,1461 days,2021-01-01,2021
Medfin,2017-01-01,Bengaluru,Healthcare & Life sciences,Medfin is a Discovery platform for medical procedures and financing.,"Arjun Kumar, Arun Kumar, Sidharth Gurjar","Axilor Ventures, S.D. Shibulal",3000000.0,Series_A,2020-01-01,1095 days,2020-01-01,2020
OurEye.ai,2020-01-01,Bengaluru,IT & Technology,"Video intelligence solution for Enterprise Standard Operating Procedures Monitoring and Quality Control, leveraging CCTV infrastructure.","Miran Junaidi, Saurabh Ghanekar, Sourav Sanyal","100X VC, Amara Ventures",120000.0,Seed,2020-01-01,0 days,2017-01-01,2017
Shiprocket,2017-01-01,New Delhi,Retail,Shiprocket helps online retailers simplify their shipping by providing a delightful post purchase experience to their consumers.,"Gautam Kapoor, Saahil Goel, Vishesh Khurana","Bertelsmann India Investments, InnoVen Capital",7500000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Moneyboxx Finance,2019-01-01,New Delhi,IT & Technology,MONEYBOXX FINANCE LTD is committed to providing easy access to financing to the deserving micro enterprises in the tier 2 and tier 3 cities of India,Prashant Agarwal,"BlackSoil, Caspian",1000000.0,Seed,2020-01-01,365 days,2018-01-01,2018
EWar,2019-01-01,Bengaluru,Others,EWar Games is a e-sports and real-time gaming start-up.,"Parth Chadha, Rahul Singh","Jindal Steels, Jeet Banerjee",3000000.0,Seed,2020-01-01,365 days,2018-01-01,2018
SucSEED Indovation,2016-01-01,Hyderabad,IT & Technology,"SucSEED INDOVATION FACILITATES ACCESS TO CAPITAL FOR DEEP TECH STARTUPS TO INNOVATE, SCALE & GROW",Vikrant Varshney,Undisclosed,5000000.0,Seed,2020-01-01,1461 days,2021-01-01,2021
TaxBuddy.com,2019-01-01,Mumbai,IT & Technology,TaxBuddy for any tax related issues.,Sujit Bangar,Zenith Global,1000000.0,Seed,2020-01-01,365 days,2018-01-01,2018
Awign Enterprises,2016-01-01,Bengaluru,Business Services,Operations and manpower outsourcing startup,"Annanya Sarthak, Gurpreet Singh, Praveen Sah","Unitus Ventures, Work10M",500000.0,Seed,2020-01-01,1461 days,2021-01-01,2021
Circle of Angels,2018-01-01,Gurugram,IT & Technology,Circles of Angels aims to solve this issue through the creation of a funding network that makes impact funding accessible to everyone.,Karanpal Singh,Undisclosed,3000000.0,Seed,2020-01-01,730 days,2019-01-01,2019
CoinDCX,2017-01-01,Mumbai,IT & Technology,CoinDCX is a company that specializes in crypto-enabled financial services.,"Neeraj Khandelwal, Sumit Gupta","Coinbase Ventures, Polychain",10000000.0,Series_B,2020-01-01,1095 days,2020-01-01,2020
Glance,2016-01-01,Bengaluru,IT & Technology,Glance is a screen zero platform that consumers use across connected devices to experience the Internet.,Naveen Tewari,Mithril Capital Management.,145000000.0,Seed,2020-01-01,1461 days,2021-01-01,2021
Voosh,2020-01-01,Bengaluru,Consumer Goods,Building India's largest digital food service brand,Priyam Saraswat,Better Capital,3000000.0,Pre_seed,2020-01-01,0 days,2017-01-01,2017
Countingwell,2018-01-01,Bengaluru,Education,"An interactive Maths app, Countingwell breaks Maths concepts into short, simple modules that get kids learning with the least amount of screen time.",Nirmal Shah,"Delhi Private School, UAE, Interstar",1000000.0,Seed,2020-01-01,730 days,2019-01-01,2019
Callify.ai,2016-01-01,Mumbai,IT & Technology,Callify.ai is a Voice-Based Candidate Screening & Engagement platform for Talent Acquisition teams.,"Chetan Indap, Sunny Sharma, Deepanti Kavi",Malpani Ventures,560000.0,Seed,2020-01-01,1461 days,2021-01-01,2021
Hudle,2016-01-01,New Delhi,Others,Hudle is a sports & fitness discovery & booking platform with 300+ sports venues and sports events/tournaments available for booking.,Suhail Narain,Survam Partners,3000000.0,Seed,2020-01-01,1461 days,2021-01-01,2021
BiteSpeed,2019-01-01,Gurugram,Retail,Chat-based commerce for E-commerce brands,"Vinayak, Kshitij Abhishek, Apoorv Sadana",Whiteboard Capital,275000.0,Seed,2020-01-01,365 days,2018-01-01,2018
WakeFit,2016-01-01,Bengaluru,Retail,Wakefitkart is a mattress manufacturing company,"Ankit Garg, Chaitanya Ramalingegowda",Sequoia Capital.,20000000.0,Series_B,2020-01-01,1461 days,2021-01-01,2021
Fleeca India,2016-01-01,Jaipur,Transportation & Logistics,FLEECA is a Tyre Care Provider company.,Tikam Jain,Bridgestone India,3000000.0,Seed,2020-01-01,1461 days,2021-01-01,2021
M1xchange,2017-01-01,Gurugram,IT & Technology,M1 an online exchange for TReDS set up under the approval RBI to facilitate discounting of invoices on a PAN India basis.,Sundeep Mohindru,"BEENEXT, Mayfield Fund",4500000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
PagarBook,2019-01-01,Bengaluru,IT & Technology,"Staff's Salary, Work & Attendance Management Application","Adarsh Kumar, Rupesh Mishra","Sequoia Capital, India Quotient",15000000.0,Series_A,2020-01-01,365 days,2018-01-01,2018
PointOne Capital,2020-01-01,Bengaluru,IT & Technology,Pre-seed/Seed focussed VC investor,Mihir Jha,Undisclosed,3000000.0,Seed,2020-01-01,0 days,2017-01-01,2017
Ayana,2017-01-01,Bengaluru,Energy,Ayana Renewable Power is an Indian renewable energy platform,Shivanand N,"NIIF Ltd, CDC Group",390000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Tinker Coders,2020-01-01,Noida,Education,Tinker Coder is a LIVE Online Platform through which kids will learn the art of coding,Anoop Gautam,STEMROBO Technologies,3000000.0,Seed,2020-01-01,0 days,2017-01-01,2017
HappyLocate,2016-01-01,Bengaluru,IT & Technology,"HappyLocate is India's first One Stop Relocation Platform, transforming the way Employee Relocations are managed","Ajay Tiwari, Sainadh Duvvuru",The CoWrks Foundry,500000.0,Seed,2020-01-01,1461 days,2021-01-01,2021
Loop Health,2017-01-01,Pune,Healthcare & Life sciences,Loop Health is bringing ease and choice to patients seeking major medical treatments.,"Mayank Kale, Ryan Singh","Y Combinator, Sierra Ventures",2300000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
NeoDocs,2020-01-01,Mumbai,Healthcare & Life sciences,Neodocs analyses medical reports and provides personalised health recommendations remotely.,"Anurag Meena, Nikunj Malpani, Pratik Lodha",9Unicorns Accelerator Fund,3000000.0,Pre_seed,2020-01-01,0 days,2017-01-01,2017
The ePlane,2016-01-01,Chennai,Manufacturing,Transforming the mobility landscape using aerial transport.,"Satya Chakravarthy, Pranjal Mehta",Speciale Invest,3000000.0,Seed,2020-01-01,1461 days,2021-01-01,2021
TagMango,2019-01-01,Mumbai,Business Services,"TagMango is a marketing and advertising app that helps influencer, and brands to partner with individuals.","Divyanshu Damani, Mohammad Hasan","XRM Media, Kevin Lin",700000.0,Seed,2020-01-01,365 days,2018-01-01,2018
The New Shop,2019-01-01,New Delhi,Retail,The New Shop is a chain of high speed retail stores,"Charak Almast, Aastha Almast, Mani Dev Gyawali",Huddle Accelerator,500000.0,Seed,2020-01-01,365 days,2018-01-01,2018
DebugsBunny,2020-01-01,Pune,Education,DebugsBunny is the best Kids Coding Platform where kids are taught to code online by our expert teachers.,Sumit Sanjay Singare,India Angel Fund,100000.0,Seed,2020-01-01,0 days,2017-01-01,2017
Humus,2019-01-01,Bengaluru,Agriculture,Farmgate to Retail outlet Agri-Fresh produce supply chain,"Manjunatha T N, Shilpa Gopalaiah","Venture Catalysts, 9Unicorns, We Founders Circle.",3000000.0,Seed,2020-01-01,365 days,2018-01-01,2018
Artivatic.ai,2017-01-01,Bengaluru,IT & Technology,"Artivatic's patent pending technology solves complex problems in Insurance for On-boarding, Fraud, Risk Profiling, Underwriting & claims.",Layak Singh,"SenseAI Ventures, Saurabh Chugh",3000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Prescinto,2016-01-01,Ahmedabad,Energy,Prescinto provides solutions for solar monitoring and analytics solutions.,"Puneet Singh Jaggi, Sanjay Bhasin, Ram Menon","Startup incubator, Accelerator Venture Catalysts",3000000.0,Seed,2020-01-01,1461 days,2021-01-01,2021
Toppeq,2019-01-01,Mumbai,IT & Technology,SaaS-based equity management platform,Nandini Sankar,Undisclosed,3000000.0,Seed,2020-01-01,365 days,2018-01-01,2018
Bolo Indya,2019-01-01,Gurugram,Others,"Bolo Indya is a short video & commerce platform. It allows users to create, watch and share videos & discover and avail services.","Tanmai Paul, Varun Saxena","India Accelerator, Sunil Kamath",400000.0,Seed,2020-01-01,365 days,2018-01-01,2018
Bombay Play,2017-01-01,Bengaluru,Others,Bombay Play is a Card and Toy Company Making games for India.,"Abhas Saroha, Oliver Jones, Oliver Jones","Ramakant Sharma, Leo Capital India",1000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
KIKO TV,2020-01-01,Mumbai,Others,KIKO TV is an AI-based short live video e-commerce platform.,"Shivam Varshney, Alok Chawla","9Point8 Capital, Sunil Kumar Singhvi",3000000.0,Seed,2020-01-01,0 days,2017-01-01,2017
